time	km		£		min		stations	station name
==========================================================
7		13.9	1.2		35		10			Lauriston Place|Waverley Bridge|Drumsheugh Place|Boroughmuir|Dundee Terrace|Castle Street|Tollcross|Colinton Road|Meadow Place|Bruntsfield Links

8		19.0	1.7		45		10			Stockbridge|Charlotte Square|South Trinity Road|Dundee Terrace|Comely Bank Road|Haymarket Terrace|EICC|Western General Hospital|Thirlestane Road|Logie Green Road

9		15.1	1.3		37		10			Warrender Park Road|St Andrew Square|Meggetland|Scotland Street|Bruntsfield Links|Colinton Road|Morningside Road|Grassmarket|Fountainbridge|Thirlestane Road

10		18.4	1.6		43		10			Meadow Place|Stockbridge|Lothian Road|Bruntsfield Links|Western General Hospital|Craigleith Road|Comely Bank Road|Waverley Bridge|Boroughmuir|Castle Street

11		17.5	1.6		43		10			Canonmills|Meadow Place|Thirlestane Road|South Trinity Road|Dundee Terrace|Haymarket Station|Fountainbridge|Tollcross|Colinton Road|Lauriston Place

12		15.6	1.4		39		10			City Chambers|Dundas Street|Lauriston Place|Warrender Park Road|Scotland Street|Fountainbridge|Stockbridge|Castle Street|Morningside Road|Logie Green Road

13		15.7	1.4		36		10			Colinton Road|Meadow Place|Lothian Road|Stockbridge|Western General Hospital|Marchmont Crescent|Castle Terrace|Lauriston Place|Dean Street|EICC

14		17.7	1.6		43		9			Logie Green Road|St Andrew Square|Wester Coates Terrace|Charlotte Square|EICC|Lauriston Place|South Trinity Road|Gorgie Road|Dean Street

15		16.0	1.4		39		10			Morningside Road|Stockbridge|Tollcross|Meggetland|Comely Bank Road|Drumsheugh Place|Castle Terrace|Waverley Bridge|Bruntsfield Links|City Chambers

16		16.8	1.5		39		10			Boroughmuir|Comely Bank Road|St Andrew Square|Lothian Road|Dundee Terrace|Charlotte Square|Tollcross|Western General Hospital|City Chambers|Dalry Road Lidl

17		23.7	2.1		53		10			Drumsheugh Place|Gorgie Road|Haymarket Station|Castle Street|Meggetland|Western General Hospital|Scotland Street|City Chambers|Craigleith Road|EICC

18		14.3	1.3		35		10			Dalry Road Lidl|South Trinity Road|Dundee Terrace|Boroughmuir|Charlotte Square|Canonmills|Lauriston Place|Waverley Bridge|Meadow Place|Fountainbridge

Region 3 summary
==================

Total fuel cost: £18.1
Total distance: 203.7 km
Total working hours: 12h
Total pay: £110.4

Happy ride!